IP|PUERTO|BD|USUARIO|USOS
10.30.241.179|1548|infocrediticiacte|sysinfocrediticia|1
10.30.241.175|58294|infocrediticiacte|sysinfocrediticia|1
10.30.120.22|17260|postgres|sysappdynamics|3
[local]||postgres|postgres|111
[local]||dbaaplicaciones|postgres|9
10.30.120.22|64048|postgres|sysappdynamics|3
10.50.71.69|36008|buro|sysburotienda|1
10.50.71.69|36014|buro|sysburotienda|1
10.50.71.69|56676|buro|sysburotienda|1
10.50.71.69|56690|infocrediticiacte|sysinfocrediticia|1
10.30.241.181|3635|buro|sysburotienda|1
10.30.120.22|20086|postgres|sysappdynamics|3
10.30.120.22|20088|postgres|sysappdynamics|3
10.30.241.169|62345|buro|sysburotienda|1
10.30.120.22|17264|postgres|sysappdynamics|3
10.50.71.69|50016|buro|sysburotienda|2
10.50.71.69|19476|infocrediticiacte|sysinfocrediticia|1
10.30.241.167|64709|buro|sysburotienda|1
10.50.71.69|19480|buro|sysburotienda|1
10.50.71.69|19490|infocrediticiacte|sysinfocrediticia|1
10.30.241.181|24215|buro|sysburotienda|1
10.50.71.69|52552|buro|sysburotienda|1
10.50.71.69|48654|infocrediticiacte|sysinfocrediticia|2
10.30.241.169|4848|buro|sysburotienda|1
10.50.71.69|31628|buro|sysburotienda|1
10.50.71.69|31634|infocrediticiacte|sysinfocrediticia|1
10.30.241.181|31269|buro|sysburotienda|1
10.28.231.46|54984|postgres|sysnagios|1
10.50.71.69|63640|buro|sysburotienda|1
10.30.241.175|42486|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|42640|buro|sysburotienda|1
10.50.71.69|1130|buro|sysburotienda|1
10.50.71.69|1146|buro|sysburotienda|1
10.50.71.69|1152|buro|sysburotienda|1
10.50.71.69|27100|infocrediticiacte|sysinfocrediticia|1
10.30.241.167|2743|buro|sysburotienda|1
10.50.71.69|32988|buro|sysburotienda|1
10.50.71.69|32994|buro|sysburotienda|2
10.50.71.69|13570|buro|sysburotienda|1
10.30.241.179|12535|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|39462|buro|sysburotienda|1
10.50.71.69|39478|infocrediticiacte|sysinfocrediticia|1
10.30.241.181|53654|buro|sysburotienda|1
10.50.71.69|39488|buro|sysburotienda|1
10.50.71.69|39498|buro|sysburotienda|1
10.50.71.69|19064|infocrediticiacte|sysinfocrediticia|1
10.30.241.167|10091|buro|sysburotienda|1
10.50.71.69|7950|buro|sysburotienda|1
